ID	X10_vs_X5_ratio	X10_vs_X5_p.adj
ABCF1	1.13	0.0351
ACTL6A	1.09	0.0397
ADH5	1.66	0.0497
AHSG	1.91	0.0266
ALB	3.27	0.0131
ANKRD46	2.25	0.0231
AP3D1	2.1	0.042
APLP2	2.78	0.0302
APOB	4.08	0.0354
ATP8B2	3.54	0.00851
BIN1	4.72	0.0188
C3	2.88	0.0168
C9	3.52	0.015
CBFB	2.1	0.0101
CCAR2	2.74	0.0282
CEP170	1.73	0.0332
CHD4	2.06	0.0203
CHTOP	3.54	0.00608
CLEC3B	3.94	0.0223
DDX1	1.26	0.0279
DDX17	1.11	0.0472
DDX39B	1.11	0.0238
DENND4C	1.54	0.015
DNAJC13	2.28	0.0235
EIF3A	1.23	0.0296
EIF5B	4.27	0.0085
FABP4	1.57	0.042
FBL	1.67	0.0262
FBXL20	2.97	0.0351
FLOT1	1.87	0.0238
FMNL3	2.52	0.0227
GCN1	1.3	0.0291
GNA11	1.75	0.0262
H1-2	2.78	0.00407
H2AC20	1.68	0.0303
H2AZ2	2.02	0.0291
H2BC18	1.84	0.03
H3C1	3.42	0.00915
H4C1	2.65	0.0223
HIBCH	2.23	0.0235
HK1	1.07	0.0231
HM13	1.25	0.0238
HMGCS1	3.82	0.0114
HNRNPL	1.31	0.0188
HSPH1	1.04	0.0291
HYOU1	1.23	0.0488
IGF2R	1.77	0.0235
IPO7	1.05	0.042
IPO9	1.27	0.0262
ITIH1	4.14	0.00851
ITIH2	3.48	0.0279
ITPR1	1.09	0.0231
IVD	2.02	0.0325
KCMF1	1.21	0.0223
KPNA3	1.97	0.00608
KPNA6	1.28	0.0407
KRT77	1.91	0.0188
LAMB1	1.4	0.0327
LRRFIP1	1.03	0.0241
LTF	3.46	0.0106
MARCHF5	2.85	0.00851
MCM2	2.56	0.0235
MRC2	1.11	0.0309
MRTO4	1.06	0.042
MTOR	1.71	0.0096
MYO1B	2.35	0.00837
NCKAP1	1.24	0.0266
NDUFA12	1.4	0.0143
NDUFS1	1.01	0.0235
NDUFS8	1.83	0.0394
NNT	1.02	0.0279
NOP10	3.63	0.00837
NOP56	4.85	0.00407
NOP58	3.88	0.0255
NUP214	2.2	0.00661
ORMDL1	2.55	0.0136
PAPSS2	1.49	0.0296
PDE12	2.19	0.0364
PELP1	2.29	0.0211
PKN2	1.59	0.0441
PLCB3	2.47	0.00837
PLCG1	2.08	0.0209
PLOD3	1.4	0.0255
POLR2A	2.5	0.0481
POTEF	2	0.0375
PPM1A	2.5	0.0203
PPM1B	2	0.0198
PPP6R3	2.11	0.0303
PRPF8	1.67	0.00851
PSME4	1.25	0.0441
RAB3GAP1	1.21	0.024
RAP2A	2.8	0.0249
RASA1	1.35	0.015
RBM25	4.09	0.00407
RBM39	2.8	0.0218
RBP4	4.54	0.015
RPL13A	1.1	0.0235
RPL14	1.88	0.0143
RPL18	1.27	0.0233
RPL19	2.32	0.00592
RPL21	1.4	0.00955
RPL23A	2.05	0.0096
RPL24	2.12	0.00608
RPL26	1.02	0.0358
RPL27	1.35	0.0223
RPL27A	3.53	0.00837
RPL28	1.41	0.0344
RPL3	1.4	0.015
RPL32	3.84	0.00407
RPL34	1.68	0.0225
RPL35	3.15	0.00955
RPL36	3.21	0.00407
RPL36A	2.92	0.015
RPL37A	2.02	0.00851
RPL4	1.56	0.0188
RPL6	1.81	0.0142
RPL7	1.34	0.0136
RPL7A	1.9	0.00837
RPS24	2.6	0.015
RPS26	1.5	0.0261
RPS27	1.1	0.0351
RPS27L	1.54	0.0407
RPS8	1.38	0.0101
RRBP1	2.23	0.00915
SCYL1	2.34	0.0363
SEC24B	1.54	0.0235
SERPINF1	2.42	0.015
SF3B1	2.61	0.027
SF3B3	1.26	0.042
SFXN1	3.29	0.00837
SLC25A12	2.38	0.018
SLC25A13	1.84	0.0293
SLC25A24	3.45	0.0441
SLC7A1	1.64	0.0436
SMARCA5	3.46	0.00407
SMARCC2	2.25	0.0246
SNRNP200	2.76	0.00608
SNRPA1	2.43	0.0426
SNRPD1	1.59	0.0291
SNRPD2	1.1	0.0238
SPTAN1	1.35	0.0136
SPTBN1	1.51	0.0115
SRP72	1.49	0.0229
STAM	1.58	0.0253
STIP1	1.92	0.0203
SUPT5H	3	0.00407
SVIL	2.32	0.0115
TAOK1	2	0.00837
TBC1D15	2.34	0.00407
TBL2	1.58	0.00955
TCEA1	4.34	0.00407
TF	3.32	0.0115
THBS4	3.53	0.0141
THRAP3	2.1	0.0106
TOMM40	1.95	0.00837
TOP2B	3.24	0.0311
TPR	1.23	0.0141
TRA2B	1.35	0.015
TTR	1.74	0.0423
TXNDC12	2.03	0.0209
U2SURP	2.54	0.0163
UBE2D1	3.78	0.00407
UPF1	1.39	0.0231
USP15	2.47	0.0266
USP7	2.65	0.00407
UTRN	1.97	0.0478
VDAC3	3.67	0.0423
VNN1	1.55	0.042
VPS18	1.74	0.037
VWA8	2.26	0.0469
WASHC4	2.8	0.025
XPOT	1.83	0.0123
XRN2	1.88	0.0397
