ID	CS.10_vs_M.Ctr_ratio	CS.10_vs_M.Ctr_p.adj
MYH9	2.65	0.000596
CLTC	1.46	0.00317
MYH10	2.18	0.0023
DYNC1H1	1.22	0.00296
EEF1A2	3.23	0.0109
FN1	1.13	0.00424
ALB	5.87	0.000581
MYO1C	1.28	0.0071
COPA	1.57	0.00351
MYL6	2.46	0.000617
MYL12B	1.84	0.00328
SLC25A4	1.7	0.00106
VDAC1	1.47	0.0122
ARPC1B	1.48	0.00285
MYL9	2.14	0.00215
AHSG	4.33	0.000686
COPB2	1.07	0.00767
VDAC2	1.49	0.0212
FERMT2	1.7	0.00227
CORO1C	1.09	0.0062
HK1	1.25	0.0144
RPL5	1.14	0.00752
AFP	6.88	0.00322
HBA1	4.9	0.000617
C3	4.9	0.0126
RPL3	1.43	0.00575
EIF2S3	2.04	0.000714
PZP	1.6	0.0104
PHB2	1.08	0.0363
TGM2	1.15	0.0205
H2BC18	3.13	0.00194
H4C1	3.53	0.000767
STOM	1.12	0.0042
DBN1	1.5	0.00597
CYFIP1	1.13	0.00473
GC	7.08	0.000368
ITIH2	4.65	0.0054
H2AC20	3	0.00066
PSMD6	1.28	0.00532
PAFAH1B1	2.06	0.000714
RPL30	1.48	0.00891
PRMT1	3.2	0.000368
S100A6	1.12	0.0366
PAFAH1B1	1.33	0.00306
ABCE1	1.46	0.00192
AP2M1	1.75	0.0012
MTCH2	2.66	0.000617
HIBADH	1.21	0.00471
F2	3.44	0.000368
MYL6B	2.7	0.000617
SNRNP200	1.81	0.00236
SFXN3	1.1	0.0112
EIF4A3	3.78	0.0493
UBR4	1.75	0.00428
SFXN1	1.12	0.0133
SURF4	1.78	0.00194
NCKAP1	1.41	0.00194
DDX17	1.35	0.00303
STIP1	2.18	0.00306
GFPT2	2.15	0.0436
TTR	2.89	0.00359
ITPR1	1.45	0.00304
CAD	2.29	0.00142
IMMT	1.38	0.00597
GSPT1	1.18	0.00228
CLEC3B	2.7	0.00532
SLC25A13	1.91	0.0159
SF3B3	1.05	0.0259
RAB3A	1.26	0.0265
SLC25A11	1.14	0.00582
NNT	3.04	0.0412
RPS27	1.23	0.00708
DNAJC13	1.54	0.00781
RBP4	6.21	0.00214
RAB12	1.43	0.0164
COL6A1	2.93	0.0248
DDX6	1.14	0.0247
SLC25A3	1.04	0.0227
LTF	6.62	0.000847
PRPF8	2.31	0.00466
RPL37A	2.05	0.0042
AP3D1	1.39	0.00532
GNPDA1	1.16	0.00872
ARL1	1.92	0.0154
RPS27L	3.01	0.00198
PFKP	1.14	0.00914
CDIPT	1.23	0.00898
HSPG2	1.47	0.00658
SEC61A1	1.79	0.00197
ARPC1A	1.47	0.00576
MYO6	1.79	0.0112
SERPINF1	3.38	0.00304
RRAGA	4.45	0.000368
VPS26B	1.23	0.00424
H1-2	1.19	0.00536
AP1S1	2.39	0.000923
AP1M1	1.12	0.0182
HUWE1	1.38	0.0107
H2AZ2	3.8	0.00266
STT3A	1.24	0.00532
WASHC4	3.37	0.00116
PLG	6.28	0.00328
F5	3.52	0.018
RPN2	2.44	0.0018
ITIH1	3.59	0.00232
MYO5A	3.34	0.00304
FLOT1	1.85	0.0122
VTN	2.79	0.00266
IGFBP2	2.58	0.00668
VDAC3	4.67	0.00944
PPM1A	3.86	0.00105
ACP1	1.85	0.00508
STT3B	1.22	0.0145
LUM	3.93	0.0355
THBS4	2.8	0.00576
C12orf57	1.42	0.0317
VPS28	2.48	0.00326
SNRPD1	1.57	0.012
DAD1	1.39	0.00182
TXNDC12	2.99	0.00194
PRKG1	2.05	0.018
EMC1	1.06	0.018
ACOT7	2.48	0.000368
TMEM14C	3.75	0.000368
PRPF19	1.31	0.00214
TF	4	0.00116
DHX15	1.1	0.0253
RPL35A	1.36	0.0258
PAPSS2	1.34	0.0213
STAM	1.18	0.0122
CDC42BPB	1.7	0.00473
METTL7A	1.16	0.012
PRRC1	2.05	0.00227
PGM2	1.03	0.0299
NEK9	1.17	0.0062
PSAP	2.95	0.000877
SNU13	1.27	0.00336
DIP2B	2.27	0.00658
CPSF6	1.5	0.00993
APOB	5.19	0.00122
WDR11	1.45	0.0131
DDX19B	3.09	0.0023
CPNE3	1.99	0.00066
PRKCA	2.68	0.0012
SLC25A20	2.89	0.00708
RHOT1	1.4	0.0111
BANF1	1.08	0.0146
TMEM33	1.59	0.0265
H3C1	3.86	0.00182
UBE2D1	2.95	0.0225
RTN3	1.04	0.0227
MARCHF5	3.59	0.00125
SCAMP1	1.05	0.0439
VAMP7	1.58	0.00232
VPS13C	1.76	0.0255
COX5A	1.39	0.0332
SEC63	1.34	0.00708
TIMM8B	1.1	0.0216
PKD2	1.21	0.036
IPO11	2.1	0.0248
BIN1	4.36	0.00116
AP3M1	1.24	0.00576
MCU	2.43	0.00532
IGF2R	1.57	0.0104
MYO1B	2.93	0.00066
APOA1	4.66	0.000368
TOMM40	3.24	0.0391
VNN1	4.54	0.000617
CHD4	2.15	0.00066
SERPINA7	6.59	0.000412
NDUFA12	1.67	0.018
NDUFA8	1.22	0.0166
PIK3R4	1.3	0.0216
AP2S1	2.18	0.000714
COG3	1.19	0.0262
ANKRD46	2.95	0.00227
ARHGEF17	1.08	0.0144
ANKFY1	1.03	0.0339
JAGN1	1.45	0.012
KIF13A	2.18	0.0227
SLC12A6	3.01	0.0238
MAP4K4	3.45	0.00107
PIP4P2	3.34	0.0492
RAB24	2.53	0.00116
DERL1	1.03	0.0159
BIRC6	3.08	0.0322
PTDSS1	1.31	0.0244
MTX2	1.45	0.0159
KIDINS220	1.37	0.0144
COTL1	1.4	0.0244
C5	4.48	0.0138
ORMDL3	2.27	0.0108
TM9SF1	1.87	0.00326
HM13	2.62	0.00066
TBL2	1.36	0.00429
CLCN7	1.44	0.00326
PLPP3	1.72	0.0248
MYLK	2.51	0.0192
CRYZ	3.69	0.0037
PRKCD	3.02	0.00351
STAT5B	1.11	0.0327
AP3M2	1.85	0.0122
CDKN2A	1.41	0.0451
RNF13	1.15	0.00797
C9	2.42	0.0227
SH3GLB2	2.44	0.0216
ISOC1	2.17	0.00326
ORMDL1	1.39	0.0356
MGST1	3.21	0.00116
ASCC3	1.11	0.00368
SAFB	1.49	0.0224
ABCD3	1.29	0.0326
MYADM	1.43	0.0104
TOR1A	1.02	0.0122
SLC7A1	2.2	0.00304
FBXL20	1.65	0.0311
SLC12A2	1.36	0.00944
GABARAP	1.26	0.0492
ANO10	1.57	0.0397
SH3BGRL2	1.36	0.00508
KDSR	3.64	0.00053
PEX11B	1.96	0.00955
MCM2	1.87	0.0339
HIBCH	1.38	0.0246
RAB34	2.82	0.00122
RAB34	3.8	0.0159
