ID	X10_vs_X5_ratio	X10_vs_X5_p.adj
A2M	-4.23	0.000499
AAMP	-2.12	0.00254
AARS1	-1.23	0.00813
ACACA	-3.1	0.00398
ACADVL	-1.8	0.00389
ACLY	-2.94	0.000307
ACOT7	-1.55	0.00631
ACP1	-3.62	0.00209
ACTB	-1.27	0.03
ACTBL2	-1.72	0.0187
ACTR10	-1.4	0.0396
ACTR1A	-1.18	0.0138
ACY1	-4.45	0.000532
ADA	-2.19	0.00238
ADAMTS13	-5.48	0.000244
ADH5	-2.53	0.00218
ADRM1	-1.82	0.00345
ADSS2	-1.21	0.0188
AFAP1	-3.31	0.000999
AFP	-4.29	0.000326
AHCY	-1.63	0.0056
AHSA1	-1.67	0.00768
AHSG	-4.3	0.000544
AIDA	-1.22	0.0145
AIP	-1.58	0.00567
AK1	-1.18	0.0078
AKR1A1	-1.84	0.00289
AKR1B1	-1.92	0.00263
AKR1B10	-1.71	0.00657
AKR1C1	-2.55	0.00137
AKR7A2	-1.3	0.0108
ALAD	-4.31	0.0186
ALB	-3.84	0.000519
ALDH1L1	-3.37	0.000999
ALDOA	-1.51	0.004
ALDOB	-8.13	0.000737
ALDOC	-2.09	0.00114
AMY1A	-5.26	0.0112
ANP32E	-1.29	0.0239
ANXA1	-1.71	0.00294
ANXA3	-1.21	0.0252
ANXA4	-1.68	0.00944
ANXA5	-1.67	0.00666
ANXA7	-1.44	0.0219
ANXA8L1	-2.32	0.0107
APCS	-3.98	0.00154
APOA1	-3.38	0.000327
APOB	-1.81	0.00845
APOC3	-4.11	0.00396
APOH	-3.12	0.0377
APP	-3.1	0.00198
APRT	-1.71	0.00209
ARFGEF1	-1.86	0.0229
ARHGDIA	-1.43	0.00352
ASPH	-1.67	0.0262
ATG3	-1.27	0.0323
ATP5F1A	-2.28	0.00186
BABAM2	-2.01	0.00209
BDH2	-1.45	0.0037
BHMT	-8.04	0.000538
BIN1	-4.12	0.00066
BLVRA	-2.28	0.00295
BOLA2	-1.57	0.0122
BPNT1	-1.82	0.00547
C11orf68	-1.98	0.00258
C12orf57	-2.91	0.0233
C1orf198	-2.76	0.00768
C1QTNF3	-6.06	0.000747
C3	-4.81	0.000577
C4A	-2.45	0.00161
C5	-4.37	0.000614
C9	-3.46	0.00269
CACNA2D1	-1.96	0.0089
CAMK1	-1.04	0.0467
CANX	-1.54	0.00883
CAPG	-1.2	0.0114
CAPNS1	-1.11	0.00834
CASP3	-1.18	0.0176
CBFB	-1.46	0.0142
CBR1	-1.2	0.0116
CD109	-4.72	0.00476
CD44	-1.25	0.00797
CDH2	-2.29	0.0097
CDK6	-3.13	0.00488
CHMP2A	-2.8	0.000737
CIAO2A	-1.64	0.0025
CKB	-1.67	0.00751
CLEC3B	-4.1	0.000924
CLIC1	-1.76	0.00495
CLIC4	-1.31	0.006
CLIP2	-2.23	0.00113
CMPK1	-1.35	0.00507
CNTN1	-2.32	0.00778
COL18A1	-5.77	0.000353
COL1A2	-1.97	0.0123
COL2A1	-2.81	0.00704
COL3A1	-2.32	0.011
COL6A1	-2.82	0.0122
COL6A2	-4.1	0.00907
COL6A3	-1.95	0.00404
COMP	-5.11	0.00105
COPS3	-1.17	0.0115
COPS4	-1.02	0.0178
COPS5	-1.69	0.00667
COTL1	-2.57	0.0079
CP	-4.54	0.02
CPD	-2.17	0.00402
CPSF6	-5.73	0.000281
CRK	-1.03	0.0244
CRYM	-1.9	0.00274
CSTA	-1.81	0.0253
CTNNB1	-1.15	0.0206
CTSB	-1.4	0.0401
CTSD	-1.67	0.0166
CUTA	-2.22	0.00566
CYRIB	-1.29	0.0127
DBNL	-3.1	0.00333
DCD	-3.14	0.00699
DCTN3	-1.69	0.016
DDAH1	-1.88	0.00434
DDAH2	-1.73	0.0415
DDT	-3.01	0.0222
DDX17	-3.71	0.00151
DDX39A	-1.81	0.0375
DDX39B	-3.03	0.00342
DHX15	-4.89	0.000197
DIP2B	-2.38	0.00105
DLGAP4	-1.98	0.004
DNAJA1	-2.18	0.00536
DNAJC13	-3.42	0.000384
DPY30	-1.84	0.00852
DRG2	-1.62	0.0074
DSG1	-3.9	0.0237
DSTN	-1.59	0.0164
DTD1	-1.18	0.0138
DYNC1I2	-1.99	0.00149
EEF1B2	-1.38	0.0187
EFEMP1	-5.66	0.00838
EFHD2	-1.52	0.0161
EFTUD2	-2.19	0.000765
EIF3G	-1.08	0.0249
EIF3I	-1.14	0.0253
EIF4A1	-1.21	0.0102
EIF4B	-2	0.00907
ENO1	-1.14	0.036
ENPP2	-4.45	0.000317
ESD	-1.72	0.00707
EXOC4	-3.76	0.00755
F10	-2.71	0.00495
F2	-4.09	0.000522
F5	-1.88	0.0043
FABP3	-1.34	0.0421
FABP4	-2.72	0.0233
FABP5	-2.18	0.0158
FAH	-1.62	0.00238
FAM3A	-2.17	0.0435
FBLN1	-3.25	0.000567
FBN1	-2.39	0.00137
FGB	-4.18	0.00136
FGG	-4.63	0.00211
FHL3	-1.54	0.00406
FILIP1L	-8.99	0.000103
FKBP1A	-1.47	0.0357
FLG2	-2.74	0.00546
FLNB	-2.66	0.000805
GALE	-1.96	0.00406
GALK2	-1.59	0.00294
GART	-1.43	0.0106
GC	-3.37	0.00167
GDI1	-3.02	0.000805
GET4	-1.26	0.0152
GGCT	-1.91	0.00987
GLO1	-1.61	0.00397
GLOD4	-2.19	0.00333
GMDS	-1.78	0.00579
GMPPA	-1.7	0.0233
GMPPB	-1.23	0.00562
GNA13	-4.91	0.00694
GNPDA1	-1.61	0.00983
GNPNAT1	-1.64	0.0162
GOT1	-1.78	0.0052
GSN	-2.18	0.00126
GSS	-1.03	0.0298
GSTA1	-2.23	0.00786
GSTA5	-1.37	0.011
GSTM1	-1.12	0.0381
GSTO1	-1.79	0.00435
GSTP1	-1.61	0.00434
HAGH	-1.6	0.011
HBA1	-5.16	0.00293
HBE1	-3.27	0.0107
HDGF	-1.18	0.0161
HGFAC	-3.4	0.000921
HNRNPU	-2.62	0.00148
HOOK3	-1.39	0.0122
HPRT1	-1.47	0.00409
HRNR	-3.83	0.036
HSP90AB1	-1.31	0.00583
HSP90AB4P	-4.6	0.00983
HSPB1	-1.3	0.00646
HSPBP1	-2.1	0.0307
HSPG2	-2.92	0.000544
HUWE1	-1.41	0.00808
IDE	-1.22	0.0143
IDH1	-1.54	0.00241
IDI1	-1.43	0.00413
IFT22	-1.32	0.0146
IGF2	-4.69	0.00208
IGF2R	-4.72	0.000294
IGFBP2	-4.36	0.00218
IPO5	-1.05	0.0313
ITIH1	-4.85	0.000356
ITIH2	-4.84	0.000772
ITIH3	-4.4	0.000339
ITPA	-1.1	0.0344
ITPR1	-4.04	0.00395
KANK2	-1.81	0.0019
KCTD12	-1.62	0.0208
KIF13B	-3.86	0.00245
KRT1	-3.54	0.00686
KRT10	-3.34	0.000971
KRT14	-4.45	0.00893
KRT2	-3.24	0.000756
KRT5	-3.22	0.0119
KRT6A	-3.94	0.0396
KRT9	-4.12	0.00667
KTN1	-1.03	0.0338
LAMB1	-1.75	0.00199
LDHA	-1.05	0.0119
LDHB	-2.08	0.00203
LGALS1	-1.46	0.0445
LGALSL	-1.35	0.00955
LRRC47	-2.09	0.0162
LTF	-3.84	0.000577
LUM	-4.16	0.000339
MAN2C1	-1.26	0.0187
MAP2K1	-1.01	0.0161
MAPK3	-1.19	0.0101
MARCHF5	-3.11	0.00268
MARK2	-3.84	0.0253
MAT1A	-4.84	0.000966
MDH1	-1.92	0.0035
MEMO1	-1.32	0.02
MIF	-1.73	0.0165
MST1	-4.82	0.0197
MTAP	-1.49	0.00437
MTPN	-1.76	0.0252
MYG1	-1.14	0.0124
MYO1E	-1.78	0.00158
NACA	-1.23	0.0276
NAGK	-1.69	0.00667
NANS	-1.25	0.00693
NEK9	-1.69	0.00231
NEO1	-4	0.00344
NEXN	-2.4	0.00147
NIT2	-1.47	0.0115
NME1	-1.44	0.00819
NME2	-1.45	0.00768
NNMT	-1.39	0.00454
NOL3	-1.56	0.00344
NOTCH2	-5.11	0.000317
NPC2	-1.48	0.00701
NQO1	-1.4	0.00407
NRDC	-1.38	0.0122
NRP1	-2.63	0.011
NUDC	-1.63	0.00614
NUDT2	-1	0.0176
NUDT21	-1.05	0.0284
NUDT3	-1.3	0.0123
NUDT4	-3.23	0.000554
NUP62	-2.92	0.00926
OGA	-1.36	0.0115
OPA1	-1.42	0.00443
OSTF1	-2.24	0.0075
OTUB1	-1.96	0.0043
PABPC1	-1.13	0.0493
PAFAH1B2	-1.41	0.015
PAPSS2	-4.77	0.000307
PARK7	-1.61	0.00437
PCBD1	-2.79	0.00357
PCBP1	-1.21	0.00754
PCBP2	-1.02	0.0146
PCNA	-1.96	0.00646
PDCL3	-1.74	0.0081
PEA15	-1.8	0.0283
PEBP1	-1.48	0.00671
PEPD	-1.62	0.0021
PFDN5	-1.2	0.0145
PFN1	-1.48	0.0117
PFN2	-1.73	0.00862
PGAM1	-1.51	0.0031
PGAM4	-2.84	0.000432
PGK1	-1.4	0.00438
PGLS	-1.57	0.019
PHLDB1	-1.9	0.00517
PIP	-3.29	0.0134
PIR	-1	0.0416
PITHD1	-1.61	0.00907
PITPNA	-1.26	0.0109
PITPNB	-1.52	0.00701
PLCG1	-1.48	0.00609
PLG	-3.98	0.000929
PLIN3	-3.05	0.000572
PLOD3	-3.41	0.000308
PMM1	-3.08	0.000463
PMM2	-2.47	0.0103
PNP	-1.56	0.0161
POSTN	-2.1	0.019
POTEF	-3.48	0.00116
PPIA	-1.38	0.0305
PPM1A	-2.38	0.0289
PPP1R21	-6.39	0.0102
PPP1R7	-1.23	0.0246
PPP2CA	-1.77	0.0074
PPP2CB	-1.87	0.0035
PPP2R2A	-1.42	0.0058
PPP6R3	-1.77	0.00414
PRDX1	-1.11	0.0119
PRDX2	-1.42	0.00377
PRDX4	-1.04	0.0136
PRDX5	-1.12	0.0394
PRDX6	-1.51	0.00318
PRPF8	-4.14	0.000264
PRPSAP2	-1.41	0.0117
PRRX1	-1.56	0.0286
PSAT1	-1.8	0.00246
PSMA3	-1.29	0.0122
PSMA4	-1.4	0.00813
PSMA5	-1.27	0.00987
PSMA6	-1.18	0.00769
PSMA7	-1.01	0.0127
PSMB5	-1.15	0.00925
PSMB6	-1.08	0.0154
PSMB7	-1.05	0.0263
PSMC6	-1.01	0.0115
PSMD1	-1.17	0.026
PSMD10	-2.22	0.003
PSMD13	-1.37	0.00615
PSMD14	-1.25	0.00892
PSMD4	-2.71	0.000694
PSMD6	-1.78	0.00416
PSMD7	-1.04	0.0461
